number,opened_at,amount,state,short_description,ci,user,department,category,processed_date,source_id,type,location,processing_time_hours
468f23f9-828c-4763-8a7c-23fef13cad88,2024-04-07 11:19:29,41825,Submitted,Trade range fly it move.,television,nlewis,Finance,Assets,2024-03-14 01:45:27,374217e1-3032-4c60-87d4-dd1e7981e253,Recurring,South America,-585.5672222222222
4710fa1b-1b7d-4fa0-933d-b58cb6df2081,2024-07-04 08:10:00,19938,Declined,Air old southern Mrs summer six food recently.,like,thomastyler,HR,Services,2024-09-20 13:30:34,37104364-a616-444b-a611-89c176910aff,Recurring,North America,1877.3427777777779
ce58c131-9b46-40b9-9447-bbecf9f8d5f1,2024-02-25 17:44:46,57593,Declined,Area personal despite.,defense,xramirez,Finance,Services,2024-05-25 00:00:22,52b769d5-1b45-474f-8c9c-4f57cf3d7803,Recurring,Africa,2142.26
d87cecab-0969-4f09-8d93-d8aa7cf54b4c,2024-02-15 18:23:35,82005,Submitted,Day none teacher face mention race sell.,test,russellromero,Customer Support,Miscellaneous,2024-02-09 01:15:27,e5fc6394-ef0e-41ee-a1e0-fef47862bb60,Recurring,Africa,-161.13555555555556
9e4d5e28-6eff-4546-a334-f79c615d842f,2024-05-03 18:08:38,74838,Declined,Upon financial nothing fill form fall method page.,quickly,alanharrison,Customer Support,Services,2024-06-28 20:51:55,196abe47-17fc-4638-bd03-0100a4a4d97e,Recurring,Europe,1346.721388888889
d5df38c2-a7e8-4e5f-8b8b-7dc72c22fab3,2024-08-01 09:18:19,65898,Submitted,Make outside serious.,television,russellromero,Sales,Services,2024-09-05 01:33:23,b9de77c0-9c54-4a66-8244-07effff818c5,One-time,Africa,832.2511111111111
9557c07e-f7a0-4d80-935f-d202f1c76891,2024-09-29 23:30:13,84827,Submitted,Visit stay new hot enter accept.,letter,michael39,Product Management,Travel,2024-07-02 10:04:09,0e30fc0f-3365-4902-92d3-a1054a685eb1,One-time,South America,-2149.4344444444446
fe1852b2-0054-4539-921f-824d0abafdc2,2024-06-17 18:27:31,21159,Processed,Safe general consider lawyer yet use.,present,nlewis,HR,Assets,2024-10-26 02:13:59,36b636e8-54d6-4fa6-87fd-f052a4bc9ac2,Recurring,Asia,3127.7744444444443
11b58db8-e9da-49b3-a6b7-7d297b545a42,2024-01-20 14:38:02,12649,Submitted,Two cold then call how.,stuff,lynnsmith,Development,Services,2024-10-15 12:52:19,430566cd-6335-41dc-93b6-95fe0078426c,Recurring,Asia,6454.238055555556
4dc9dc7f-4272-4b93-836a-a72028d043f1,2024-09-19 00:07:43,13213,Pending,Way phone least American student discussion especially.,enough,michael39,IT,Miscellaneous,2024-09-17 22:07:58,27804c6e-0061-4eed-b552-5f2019e45c33,One-time,South America,-25.995833333333334
d5a96334-d2ff-49dc-8e8f-d115c02b8dd7,2024-10-25 11:32:52,18563,Pending,Suffer first change glass door I.,present,elizabeth03,IT,Services,2024-01-20 09:32:38,ea5dad88-2566-4afd-a5e3-62809e89e06f,Recurring,North America,-6698.0038888888885
f9bd4372-13e7-4030-9770-d32e8f758885,2024-09-18 07:12:51,65542,Pending,Company strategy weight.,respond,marthabaker,Finance,Miscellaneous,2024-03-12 19:18:21,46818c5c-4e81-4c94-a287-2bebaa1bc8e8,One-time,Africa,-4547.908333333334
718bfa3e-de40-402a-acbe-2057aeb07e24,2024-10-17 14:19:40,17618,Pending,Cost difficult wind every source.,perhaps,hopkinsrebecca,IT,Services,2024-06-23 10:01:24,c81df67d-a65a-48cc-9a7c-2b189ff30fe0,One-time,South America,-2788.3044444444445
4265f4f9-013f-4f72-97c5-8a23600fdf2b,2024-06-09 17:45:05,27009,Submitted,Similar everything be somebody.,stuff,hopkinsrebecca,IT,Assets,2024-03-22 12:34:06,1b055c23-d226-44b3-aa51-331173af7298,Recurring,North America,-1901.1830555555555
e139c875-a19b-40f8-8867-e2c3e6ae0536,2024-07-07 12:39:19,78414,Declined,Knowledge camera fast item mind first.,television,nperry,Customer Support,Travel,2024-01-25 18:04:37,f9df85ea-f6b0-401a-9fa0-9426d26d4148,One-time,Asia,-3930.5783333333334
d8ca20ec-7c7a-4b09-86b3-9d59913c5a61,2024-05-15 15:23:57,75820,Declined,Security different what throughout.,television,bryanchristian,Customer Support,Travel,2024-09-21 14:47:59,132dc71e-7b8c-4c79-8a0a-93da321a535e,Recurring,Europe,3095.4005555555555
ec452b8c-a99d-4cc7-afef-251ef9e63c2a,2024-03-02 06:05:03,15579,Pending,Operation structure must husband blood.,special,stewartshannon,Development,Services,2024-07-01 12:04:12,a5eeb5bc-812a-427e-b62c-acd58cc1352b,Recurring,Africa,2909.985833333333
a0c0b947-c323-4b73-89f2-3e518adfb244,2024-01-10 18:40:17,22677,Declined,Arrive traditional recognize politics high.,less,davisbenjamin,Development,Travel,2024-04-22 10:06:50,e32d5fca-4177-4f77-8f83-644af02e4b1d,One-time,Africa,2463.4425
791fdf00-1dda-4fbe-8a1d-f4b1edb4bb8d,2024-07-01 14:06:46,18042,Pending,Process support tend into land throw film window.,present,elizabeth03,Development,Assets,2024-05-26 12:15:29,2ac63c70-5f5e-4ab4-a14f-a3c96304b7f7,One-time,Europe,-865.8547222222222
7a1dbc29-1911-416b-8fba-d7ced154a6e1,2024-09-29 19:54:16,74442,Submitted,Her article leader home culture she affect.,letter,meaganreid,Customer Support,Services,2024-06-17 13:54:32,03aaefb2-69cf-42ba-b2f2-b6cadad2b06b,Recurring,Europe,-2501.9955555555557
31114ec0-ca55-48a9-bf1e-1c025371f6f3,2024-04-26 12:01:33,29571,Processed,Race any big everything address force.,like,sherri36,HR,Travel,2024-06-17 05:08:51,c6c46cea-8c6a-4100-ad8a-9884f7937505,One-time,North America,1241.1216666666667
e04868e5-496c-499a-9143-312458537c63,2024-09-18 15:26:52,53774,Processed,Eight tree result term seat.,enough,lynnsmith,Finance,Travel,2024-10-18 05:03:20,56d237a6-e070-495b-a87c-4c307bbdd440,Recurring,Africa,709.6077777777778
add27873-bb93-4aff-9b66-c8609fcfa24c,2024-09-04 08:21:18,19855,Submitted,Blue suggest series appear prepare loss newspaper.,like,kimberly55,HR,Miscellaneous,2024-03-28 08:56:20,b3aa2728-2ae9-4771-81b2-d1536284a5d4,One-time,Europe,-3839.416111111111
2e71d8f4-d813-49aa-9934-c9b6be315f59,2024-03-23 14:05:38,15091,Processed,Road contain fact page behind.,special,natashaanderson,IT,Services,2024-05-03 17:43:43,16ce4be1-7182-4e90-b510-be44a6e98311,One-time,Africa,987.6347222222222
b84cdc0d-f24d-4f56-b5aa-c4693a9a43a5,2024-09-24 02:29:39,26920,Declined,Writer guess large off buy seven.,marriage,xrivers,HR,Assets,2024-08-26 08:20:55,7dd952ca-2019-4ca6-8828-232b2f591212,One-time,Asia,-690.1455555555556
f56c7762-98a8-4bd6-95dc-5128572e9916,2024-04-26 11:19:34,34300,Processed,Left question must human.,defense,bhernandez,Finance,Assets,2024-10-11 00:50:52,e57555f0-0c20-4cc6-925b-ba9593bf4f0a,One-time,Europe,4021.5216666666665
7bb5863d-aa41-4f94-b2e5-2149b0366adc,2024-02-11 01:45:18,44842,Pending,Follow treatment who maybe ground hard.,Mr,qlewis,Sales,Assets,2024-10-24 22:16:42,54af47d4-10f1-400f-974a-7dac2799599f,Recurring,Africa,6164.5233333333335
12697584-ae6a-43d5-abd2-4ada22240eaf,2024-04-03 12:41:05,58405,Submitted,Direction eight sort those because.,quickly,russellromero,Finance,Services,2024-03-11 04:18:18,e8a4ec2d-3047-42dc-96b4-56c343265963,Recurring,Africa,-560.3797222222222
2aec4e8d-f595-452d-9cde-365f8e06b87c,2024-05-08 09:47:00,10804,Pending,House back property.,ready,hannah43,HR,Services,2024-09-03 16:28:33,fcb92bee-9ded-42f4-b702-47d712e23ea8,Recurring,South America,2838.6925
1b7ae557-8f17-4014-915d-60a871a9ad16,2024-01-15 19:01:51,57871,Processed,Common garden notice law term job party summer.,perhaps,thomastyler,Product Management,Services,2024-03-19 17:38:47,e86e5544-66eb-4cc4-981c-b8e7a799d7fe,One-time,Africa,1534.6155555555556
6f185948-5b0a-4bbd-a545-317142090c6b,2024-01-14 10:57:18,43768,Declined,Reflect section than.,detail,khorn,Finance,Travel,2024-03-06 14:23:56,1e6f5d3a-f1b1-4170-8068-43d7fe538afc,Recurring,North America,1251.443888888889
d9f871b5-3c03-41fa-8ec6-3ae6e433f7d9,2024-05-04 01:27:54,25767,Processed,Fund government fight third rock long.,evidence,carolfranklin,IT,Assets,2024-05-10 19:23:44,43a0fc74-6589-408b-b839-57aacd40a405,Recurring,Africa,161.93055555555554
47ef54e2-1d4b-49f8-8543-018a96284448,2024-05-19 11:04:59,11235,Submitted,National her college.,present,hopkinsrebecca,Development,Assets,2024-03-31 06:40:27,d0623be3-7041-4a9d-9f43-fcf0b8faaaa1,One-time,North America,-1180.408888888889
bcb58d37-3575-41ed-af5a-a703aea5a635,2024-02-03 13:53:16,14669,Declined,Them sister decade not.,letter,rwilliams,IT,Travel,2024-02-12 18:34:25,0e0c1d02-91fa-4ead-bc87-09e035863a4f,Recurring,Africa,220.68583333333333
18cea56a-fdc7-40c5-9a56-db6f73f32322,2024-09-14 14:04:43,20115,Processed,Require budget bank live series daughter change as.,ready,davisbenjamin,Development,Services,2024-10-02 16:30:32,c6bd96fe-0878-488a-82da-5bb4d7b66b58,Recurring,Africa,434.4302777777778
98eb6cf4-8caf-4d93-8780-122c6a686f04,2024-08-26 02:03:40,29892,Submitted,Read trip call local wait investment difficult.,marriage,taylormegan,IT,Services,2024-04-18 08:41:04,4e2645c2-6350-4d10-95d5-b9966684d5b9,Recurring,Europe,-3113.3766666666666
40e732ba-8c7e-45d8-812c-e9c3c38bff5f,2024-07-12 17:51:31,23813,Pending,Whom whether southern best.,evidence,hannah43,IT,Assets,2024-03-18 12:29:02,c51e4da0-bd2a-4ce0-ad77-753069ec1e71,Recurring,Europe,-2789.3747222222223
b741ca87-8062-405c-b97f-f1030e6e185e,2024-04-14 06:01:16,73849,Declined,Feel society history movement time.,Mr,sherri36,Customer Support,Travel,2024-08-16 15:38:57,e813703b-a94a-430e-a019-d5c34ce5ed81,One-time,Africa,2985.6280555555554
97bada73-6949-4a90-9af0-8fd90d3cb842,2024-09-10 20:58:08,12347,Processed,Magazine agree admit world.,letter,xgregory,IT,Services,2024-10-02 20:20:35,12972cc8-5b48-4333-950c-f9f45c5e8395,Recurring,South America,527.3741666666666
2712fdfd-f667-4963-bd8b-18e9b4e95ba3,2024-04-08 20:02:33,19971,Submitted,Successful who voice we nature management.,evidence,michael39,HR,Assets,2024-09-19 02:50:40,ace412d0-ead1-45ff-a47f-60de49e76175,Recurring,Asia,3918.8019444444444
ab1444dd-ea66-4083-a1fe-d520db7ee449,2024-01-15 08:48:22,92654,Processed,Too bar why exist.,Mr,albert63,Product Management,Assets,2024-08-28 23:38:23,c9e17d35-caf1-4fbd-adea-50f1aabbf04b,One-time,Europe,5438.833611111111
