number,opened_at,amount,state,short_description,ci,user,department,category,processed_date,source_id,type,location,processing_time_hours
8395bf65-582f-4936-b95f-f5be40cd82d5,2024-01-03 20:29:45,16656,Pending,Music rock my threat campaign month.,one,walter28,IT,Assets,2024-08-05 11:53:07,1ae01c25-1017-4152-9cb5-779a38e541c3,One-time,Europe,5151.389444444444
317ccaea-6041-4bd5-b391-4169e4751026,2024-03-13 07:42:07,69904,Processed,Speak also hair wish treatment need effort present.,cost,ericbowers,Finance,Travel,2024-05-26 08:31:17,b66b09b5-1bb3-4ebb-a7b6-c39214587303,Recurring,South America,1776.8194444444443
35023407-4bca-4216-aa69-a2dfa56543b1,2024-09-13 05:58:17,31763,Processed,Former performance director happy plant now.,news,brandon18,Finance,Services,2024-09-23 15:18:23,8fe380ce-9863-4fea-bf68-534943814be6,One-time,Asia,249.335
ee7fc62c-1dd1-4638-8592-f65832918fb8,2024-08-27 15:46:30,22184,Processed,Body her administration leader.,one,ricejenna,HR,Travel,2024-09-02 05:50:38,8b9de78a-1a3e-4a2d-8c4d-e7eabb03d77f,One-time,North America,134.0688888888889
4e6170a5-8dd4-45f9-a884-0df642d1bd3f,2024-04-08 12:12:09,11852,Pending,Discover effect forward worry gun.,cost,singletonangela,Development,Assets,2024-06-16 06:18:59,f27a509c-a2cd-455c-934f-06d3f76eae6b,One-time,North America,1650.1138888888888
aa3d123a-4bb6-4b64-b6c5-e8e1978d37f3,2024-04-11 07:32:37,36023,Pending,Election family figure half.,outside,jessica41,Finance,Travel,2024-07-31 14:58:50,0692692c-2b7a-440d-aade-feb10bd4e9b2,Recurring,South America,2671.4369444444446
7b56dbde-9d5d-499f-be33-9ef48d48f7b3,2024-06-18 02:01:01,64900,Declined,Down their Republican product decision woman age.,cost,qevans,Finance,Services,2024-06-02 06:30:40,5dd5b299-360e-4fa9-8502-bf4139a4cece,One-time,Europe,-379.5058333333333
04f5deff-9dfc-427d-a4cc-57f7ce7c8ca1,2024-02-29 08:37:03,77699,Declined,Direction ten our throw.,understand,martinezjason,Customer Support,Services,2024-01-07 17:50:32,0cc9049c-8047-4c02-bf83-870a3e4d560b,One-time,Asia,-1262.7752777777778
b3cc1108-606c-4e77-b7cf-352dda8f0975,2024-04-17 01:48:59,72744,Declined,Sit miss manager human blood there.,summer,melissagarza,Product Management,Services,2024-10-05 08:59:15,a67b4451-4ce5-4af0-9991-dea49c420359,Recurring,Europe,4111.171111111111
672354d0-7f34-4095-8b09-5fe2376a0f88,2024-10-12 06:33:30,12070,Processed,Accept sing value safe already military.,song,ericbowers,Development,Miscellaneous,2024-10-23 01:15:47,41c2c608-770d-45d1-93bc-cbf8dc70ebf3,One-time,South America,258.70472222222224
f259f59a-c08e-41f8-b1b7-16d2616c28ec,2024-01-07 22:37:07,68920,Declined,Raise same interesting.,north,tyler14,Customer Support,Services,2024-04-07 10:32:14,e9611306-0359-49a3-a220-0163a5e527f9,Recurring,South America,2171.918611111111
26340ea3-8ccc-443c-8e3c-e73172f7e38a,2024-10-26 00:21:02,56440,Processed,Contain smile fact me.,news,collinsjoel,Customer Support,Travel,2024-10-27 02:18:08,1ce60d78-3e04-4ea0-adea-977193d84587,Recurring,South America,25.951666666666668
9ce387fe-6e5a-4978-8f24-98c0c6e63c49,2024-08-04 23:04:57,21144,Submitted,He man stuff international soldier east free nearly.,itself,michaelsosa,Development,Travel,2024-01-20 09:05:54,11e6b5c1-916f-4985-a605-3694a6bad192,Recurring,Asia,-4741.984166666667
0f1a96c9-29c9-430e-b7a2-df7cdc56c240,2024-02-22 08:41:10,58007,Submitted,Set writer one assume indicate when real.,stock,logan59,Finance,Travel,2024-08-23 09:51:37,236fd4d6-856d-4169-b236-12d84c7e47b4,Recurring,Africa,4393.174166666667
a5450dcb-12a4-4010-a1d2-963daed58360,2024-03-25 00:11:57,17104,Submitted,In cold feel every most citizen page.,news,smunoz,HR,Assets,2024-06-30 03:35:28,d3f41c94-d0fc-4c9b-a715-2a83f1276ea2,One-time,North America,2331.3919444444446
01415dec-6f80-49a7-a324-091e1720e78f,2024-10-11 12:25:28,20855,Submitted,Beyond risk north support.,one,sarah20,HR,Services,2024-04-15 06:30:03,eeaeb670-f901-4f12-93a3-6f76e7b70b9f,Recurring,Africa,-4301.923611111111
bc9adf55-c236-4e90-9c49-2c1a20e51194,2024-04-26 17:24:15,19827,Submitted,Subject treatment interview either.,news,kaylaallen,Development,Services,2024-08-13 05:51:55,c4610e4a-a1c2-47ef-94c9-4bf3398d3896,Recurring,Asia,2604.461111111111
a213fff4-e6bd-4934-9cdb-144e6f01d4d3,2024-03-25 21:05:02,30498,Processed,Country everybody source official month student.,song,jocelyn33,Finance,Services,2024-07-13 15:21:57,dc9e1b60-5c93-440a-8771-7fe1bd470df8,Recurring,Africa,2634.2819444444444
5c0f88af-b86a-4da3-9469-54fc8bffb103,2024-10-23 23:03:28,48584,Submitted,Know expert away.,choose,darryl83,Sales,Travel,2024-08-10 01:44:01,f42c7aa5-bf8f-43b5-8c16-d8f5fa41e2b1,Recurring,Europe,-1797.3241666666668
a2ad338e-3563-4697-af67-a7ad95fdc206,2024-02-24 01:04:50,57531,Pending,Total offer nothing to.,summer,nathanjenkins,Finance,Assets,2024-07-16 12:05:34,65d07e0e-2492-4be0-99fe-4ba22c681991,Recurring,North America,3443.012222222222
ab01996c-d32a-41d2-89f6-fed99babc12c,2024-03-22 07:30:17,41820,Submitted,Operation would citizen herself ask contain middle.,beautiful,dana11,Finance,Assets,2024-09-24 16:02:56,c0c44fc4-8fe6-4dd1-9299-927419be210c,One-time,Africa,4472.544166666667
deead554-0870-4c37-b037-915c6b608c03,2024-10-10 05:45:18,58033,Processed,Move range not early successful star need.,understand,dcraig,Customer Support,Services,2024-10-14 15:47:46,2f00115f-a7f0-4dbe-acad-0dcef03d83bd,One-time,South America,106.0411111111111
eb0652a1-5e24-4828-ab9b-742fea03735b,2024-06-27 08:09:15,72142,Pending,Another finally staff include.,choose,janetsimon,Product Management,Travel,2024-04-27 08:39:00,cf75b9e6-0fec-4620-ba1e-776a8f52c444,One-time,North America,-1463.5041666666666
3d55cf1b-e55d-4cbf-9026-651c5fa41053,2024-01-23 22:46:59,30050,Processed,Life when owner whatever traditional.,clearly,olivermichael,Sales,Services,2024-08-27 19:39:49,702e537e-dad1-4111-b44e-668b50262be7,Recurring,Africa,5204.8805555555555
d3b904a0-a657-462e-bab6-a5e23a3c6b75,2024-08-28 09:33:01,60938,Declined,I participant yourself increase on spring serious.,summer,amber10,Product Management,Travel,2024-08-09 08:03:34,3b48cfbe-249d-4fc7-96d7-40ec894a4b66,Recurring,Asia,-457.49083333333334
93d92a8e-a5e3-44ed-8b3c-e087e569b3e9,2024-03-03 01:17:48,10701,Processed,Capital tough environmental report area color.,in,carrgregory,IT,Travel,2024-06-16 12:23:37,66c26545-1724-4777-9dfd-637809e15e8a,One-time,Europe,2531.0969444444445
